ID,Song Name,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,Laugh Now Cry Later (feat. Lil Durk),Drake,0.761,0.518,0,-8.871,1,0.134,0.244,0.000035,0.107,0.522,133.976,4
1,POPSTAR (feat. Drake),DJ Khaled,0.8,0.56,5,-4.818,0,0.261,0.057,0,0.134,0.45,163.071,4
2,GREECE (feat. Drake),DJ Khaled,0.695,0.343,5,-10.798,1,0.0432,0.0743,0.000001,0.107,0.229,85.84,4
3,TWIST & TURN (feat. Drake & PARTYNEXTDOOR),Popcaan,0.571,0.747,7,-4.659,1,0.17,0.478,0,0.116,0.635,106.253,4
4,Toosie Slide,Drake,0.834,0.454,1,-9.75,0,0.201,0.321,0.000006,0.114,0.837,81.618,4
5,Chicago Freestyle (feat. Giveon),Drake,0.735,0.449,10,-7.507,1,0.347,0.629,0,0.113,0.0397,122.947,4
6,Life Is Good (feat. Drake),Future,0.676,0.609,2,-5.831,0,0.481,0.0706,0,0.152,0.508,142.037,4
7,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,0.836,0.617,0,-4.363,1,0.0534,0.17,0,0.319,0.866,138.066,4
8,LOYAL (feat. Drake),PARTYNEXTDOOR,0.866,0.53,0,-6.347,0,0.0495,0.517,0.00159,0.0946,0.203,104.952,4
9,Ela É do Tipo (feat. Drake) - Remix,MC Kevin o Chris,0.576,0.524,6,-5.428,1,0.24,0.89,0,0.108,0.715,99.387,4
10,Won't Be Late (feat. Drake),Swae Lee,0.915,0.588,7,-6.302,0,0.0677,0.0824,0.000169,0.104,0.329,123.936,4
11,Money In The Grave (Drake ft. Rick Ross),Drake,0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,4
12,No Guidance (feat. Drake),Chris Brown,0.698,0.454,1,-6.756,0,0.151,0.123,0,0.155,0.137,92.932,4
13,Gold Roses (feat. Drake),Rick Ross,0.502,0.633,1,-5.8,1,0.419,0.00991,0,0.389,0.552,83.226,4
14,God's Plan,Drake,0.754,0.449,7,-9.212,1,0.108,0.0329,0.000078,0.55,0.35,77.167,4
15,Going Bad (feat. Drake),Meek Mill,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,4
16,Passionfruit,Drake,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,4
17,One Dance,Drake,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.00188,0.329,0.37,103.967,4
18,Nice For What,Drake,0.7,0.909,8,-6.461,1,0.0628,0.0884,0.000114,0.0778,0.757,93.469,4
19,In My Feelings,Drake,0.735,0.482,8,-9.445,1,0.139,0.00623,0.0144,0.448,0.315,181.995,4
20,Yes Indeed,Lil Baby,0.963,0.346,5,-9.309,0,0.53,0.0355,0,0.108,0.562,119.957,4
21,Best I Ever Had,Drake,0.395,0.922,1,-2.176,1,0.375,0.19,0,0.134,0.558,162.361,4
22,Girls Need Love (with Drake) - Remix,Summer Walker,0.656,0.432,6,-9.481,0,0.217,0.443,0,0.132,0.0897,97.022,4
23,The Motto,Drake,0.774,0.431,1,-8.407,1,0.346,0.000146,0.00002,0.112,0.353,201.843,4
24,Look Alive (feat. Drake),BlocBoy JB,0.922,0.581,10,-7.495,1,0.27,0.00104,0.000059,0.105,0.595,140.022,4
25,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,0.869,0.687,1,-6.816,1,0.263,0.0208,0.000001,0.114,0.668,96.006,4
26,Mob Ties,Drake,0.754,0.575,4,-8.393,0,0.0682,0.045,0.00131,0.276,0.491,86.009,4
27,Jumpman,Drake,0.852,0.553,1,-7.286,1,0.187,0.0559,0,0.332,0.656,142.079,4
28,"Hold On, We're Going Home",Drake,0.776,0.413,6,-7.438,0,0.0952,0.00415,0.000027,0.0724,0.287,100.003,4
29,Teenage Fever,Drake,0.766,0.283,8,-10.33,0,0.0846,0.111,0.0172,0.115,0.144,97.04,4
30,Nonstop,Drake,0.909,0.405,6,-8.133,0,0.14,0.0306,0.00698,0.105,0.455,154.984,4
31,Started From the Bottom,Drake,0.794,0.522,8,-7.829,1,0.159,0.0328,0,0.156,0.567,86.318,4
32,MIA (feat. Drake),Bad Bunny,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,4
33,From Time,Drake,0.737,0.494,1,-9.723,0,0.416,0.629,0,0.126,0.44,94.485,4
34,Headlines,Drake,0.636,0.566,6,-7.16,0,0.106,0.365,0.000353,0.0917,0.425,151.894,4
35,Hotline Bling,Drake,0.891,0.628,2,-7.863,1,0.0551,0.00258,0.00019,0.0504,0.552,134.966,4
36,Fake Love,Drake,0.928,0.481,9,-9.35,0,0.287,0.105,0,0.176,0.613,134.007,4
37,Poetic Justice,Kendrick Lamar,0.779,0.572,6,-9.985,0,0.378,0.157,0,0.246,0.647,135.956,4
38,Portland,Drake,0.925,0.443,1,-8.216,1,0.264,0.0172,0,0.276,0.35,136.078,4
39,Walk It Talk It,Migos,0.907,0.633,2,-5.145,1,0.184,0.0876,0.000003,0.106,0.395,145.914,4
40,Omertà,Drake,0.646,0.899,6,-2.232,1,0.298,0.0337,0,0.232,0.685,164.119,4
41,All Me,Drake,0.67,0.515,1,-6.977,1,0.397,0.0705,0,0.25,0.422,122.006,4
42,Lust For Life,Drake,0.462,0.422,6,-10.381,1,0.175,0.939,0.0327,0.108,0.0853,87.364,4
43,Trophies,Young Money,0.746,0.687,1,-7.475,1,0.382,0.155,0,0.137,0.283,143.931,4
44,Ignant Shit (feat. Lil Wayne),Drake,0.591,0.846,7,-3.687,1,0.276,0.186,0,0.463,0.121,94.795,4
45,Successful (feat. Trey Songz & Lil Wayne),Drake,0.562,0.544,8,-5.065,1,0.369,0.536,0,0.17,0.231,159.517,4
46,Houstatlantavegas,Drake,0.683,0.695,1,-6.798,0,0.0574,0.393,0.00124,0.124,0.406,135.337,4
47,Forever,Drake,0.457,0.906,5,-2.278,0,0.342,0.249,0,0.182,0.54,104.02,5
48,I'm Upset,Drake,0.899,0.587,11,-7.866,0,0.338,0.279,0,0.0835,0.49,149.993,4
49,November 18th,Drake,0.749,0.476,11,-11.147,0,0.507,0.579,0,0.1,0.534,71.937,4
